Name: SNr [GABA], Title: Raster plot from device '1513', Hist: False
538.6 :    1 : [432]
538.8 :    1 : [433]
539.1 :    1 : [435]
540.7 :    1 : [432]
540.9 :    1 : [433]
541.2 :    1 : [435]
542.8 :    1 : [432]
543.0 :    1 : [433]
543.3 :    1 : [435]
544.9 :    1 : [432]
545.1 :    1 : [433]
545.5 :    1 : [435]
551.6 :    1 : [435]
553.3 :    1 : [432]
553.7 :    1 : [435]
555.4 :    1 : [432]
555.8 :    1 : [435]
556.3 :    1 : [433]
557.5 :    1 : [432]
558.0 :    1 : [435]
558.4 :    1 : [433]
559.6 :    1 : [432]
564.3 :    1 : [435]
566.4 :    1 : [435]
568.0 :    1 : [432]
568.5 :    1 : [435]
570.1 :    1 : [432]
570.7 :    1 : [435]
572.2 :    1 : [432]
572.3 :    1 : [433]
574.3 :    1 : [432]
574.4 :    1 : [433]
576.5 :    1 : [433]
577.6 :    1 : [435]
578.6 :    1 : [433]
579.7 :    1 : [435]
580.7 :    1 : [433]
582.7 :    1 : [432]
582.8 :    1 : [433]
584.8 :    1 : [432]
586.9 :    2 : [432, 435]
589.0 :    2 : [432, 435]
591.1 :    1 : [435]
593.2 :    1 : [435]
597.4 :    1 : [432]
599.5 :    1 : [432]
600.7 :    1 : [435]
601.6 :    1 : [432]
602.8 :    1 : [435]
603.7 :    1 : [432]
608.0 :    1 : [435]
610.1 :    1 : [435]
612.2 :    2 : [432, 435]
614.3 :    1 : [432]
614.4 :    1 : [435]
616.4 :    1 : [432]
618.5 :    1 : [432]
621.2 :    1 : [435]
623.3 :    1 : [435]
625.5 :    1 : [435]
626.8 :    1 : [432]
628.9 :    1 : [432]
629.3 :    1 : [434]
631.0 :    1 : [432]
631.4 :    1 : [434]
633.1 :    1 : [432]
633.5 :    1 : [434]
635.6 :    1 : [434]
637.7 :    1 : [434]
639.8 :    1 : [434]
641.9 :    1 : [434]
644.0 :    1 : [434]
646.1 :    1 : [434]
648.2 :    1 : [434]
650.3 :    1 : [434]
652.4 :    1 : [434]
654.5 :    1 : [434]
656.6 :    1 : [434]
689.4 :    1 : [437]
691.8 :    1 : [437]
713.6 :    1 : [436]
726.3 :    1 : [439]
729.1 :    1 : [439]
749.9 :    1 : [431]
752.3 :    1 : [431]
775.3 :    1 : [440]
777.5 :    1 : [440]
785.4 :    1 : [440]
787.5 :    1 : [440]
795.8 :    1 : [440]
797.9 :    1 : [440]
800.0 :    1 : [440]
