Name: Striatum [D1], Title: Raster plot from device '30085', Hist: False
506.8 :    2 : [9818, 9829]
506.9 :    1 : [9790]
507.1 :    1 : [9212]
507.2 :    2 : [9644, 9714]
507.4 :    2 : [9390, 9621]
507.6 :    4 : [9258, 9329, 9527, 9697]
507.8 :    2 : [9201, 9237]
507.9 :    1 : [9578]
508.0 :    3 : [9129, 9487, 9658]
508.1 :    2 : [9676, 9856]
508.4 :    1 : [9930]
508.5 :    2 : [9668, 9752]
508.6 :    2 : [9159, 9616]
508.8 :    1 : [9580]
508.9 :    1 : [9818]
509.2 :    1 : [9829]
509.3 :    1 : [9790]
509.4 :    2 : [9644, 9714]
509.5 :    2 : [9212, 9390]
509.6 :    1 : [9621]
509.7 :    4 : [9258, 9329, 9527, 9697]
510.0 :    3 : [9201, 9237, 9578]
510.1 :    2 : [9129, 9658]
510.2 :    1 : [9676]
510.3 :    2 : [9487, 9856]
510.5 :    1 : [9930]
510.6 :    1 : [9752]
510.7 :    3 : [9159, 9616, 9668]
511.0 :    2 : [9580, 9818]
511.3 :    1 : [9829]
511.5 :    1 : [9790]
511.6 :    2 : [9212, 9644]
511.7 :    2 : [9390, 9621]
511.8 :    4 : [9258, 9329, 9527, 9714]
511.9 :    1 : [9697]
512.1 :    1 : [9578]
512.2 :    4 : [9129, 9201, 9237, 9658]
512.3 :    1 : [9676]
512.4 :    1 : [9856]
512.6 :    2 : [9487, 9930]
512.7 :    1 : [9752]
512.8 :    2 : [9159, 9668]
512.9 :    1 : [9616]
513.1 :    2 : [9580, 9818]
513.5 :    1 : [9829]
513.7 :    3 : [9212, 9644, 9790]
513.8 :    1 : [9621]
513.9 :    4 : [9329, 9390, 9527, 9714]
514.0 :    1 : [9258]
514.1 :    1 : [9697]
514.2 :    1 : [9578]
514.3 :    3 : [9129, 9237, 9658]
514.4 :    2 : [9201, 9676]
514.5 :    1 : [9856]
514.7 :    1 : [9930]
514.8 :    2 : [9487, 9752]
514.9 :    1 : [9668]
515.1 :    1 : [9616]
515.2 :    1 : [9818]
515.3 :    1 : [9580]
515.4 :    1 : [9159]
515.7 :    1 : [9829]
515.8 :    1 : [9644]
515.9 :    2 : [9212, 9621]
516.0 :    4 : [9329, 9390, 9527, 9790]
516.1 :    2 : [9258, 9714]
516.2 :    1 : [9697]
516.3 :    1 : [9578]
516.4 :    3 : [9129, 9237, 9658]
516.5 :    2 : [9201, 9676]
516.6 :    1 : [9856]
516.8 :    1 : [9930]
516.9 :    1 : [9752]
517.0 :    2 : [9487, 9668]
517.2 :    1 : [9616]
517.3 :    1 : [9818]
517.4 :    1 : [9580]
517.5 :    1 : [9159]
517.8 :    1 : [9829]
517.9 :    1 : [9644]
518.0 :    2 : [9212, 9621]
518.1 :    3 : [9329, 9527, 9790]
518.2 :    2 : [9390, 9714]
518.3 :    2 : [9258, 9697]
518.4 :    1 : [9578]
518.5 :    1 : [9658]
518.6 :    3 : [9129, 9237, 9676]
518.7 :    2 : [9201, 9856]
519.0 :    1 : [9930]
519.1 :    1 : [9752]
519.3 :    1 : [9487]
519.4 :    2 : [9668, 9818]
519.5 :    1 : [9616]
519.7 :    2 : [9159, 9580]
520.0 :    1 : [9644]
520.1 :    2 : [9621, 9829]
520.2 :    2 : [9329, 9527]
520.3 :    2 : [9714, 9790]
520.4 :    2 : [9212, 9390]
520.5 :    2 : [9578, 9697]
520.6 :    2 : [9258, 9658]
520.7 :    1 : [9237]
520.8 :    2 : [9129, 9676]
520.9 :    2 : [9201, 9856]
521.1 :    1 : [9930]
521.2 :    1 : [9752]
521.5 :    2 : [9668, 9818]
521.6 :    1 : [9487]
521.7 :    1 : [9616]
521.8 :    2 : [9159, 9580]
522.1 :    1 : [9644]
522.2 :    1 : [9621]
522.3 :    3 : [9329, 9527, 9829]
522.4 :    2 : [9714, 9790]
522.5 :    1 : [9212]
522.6 :    1 : [9390]
522.7 :    3 : [9258, 9578, 9697]
522.8 :    2 : [9237, 9658]
522.9 :    1 : [9676]
523.0 :    1 : [9856]
523.1 :    1 : [9129]
523.3 :    3 : [9201, 9752, 9930]
523.6 :    2 : [9668, 9818]
523.7 :    1 : [9487]
523.8 :    1 : [9616]
524.0 :    1 : [9580]
524.1 :    1 : [9159]
524.3 :    1 : [9644]
524.4 :    3 : [9329, 9621, 9829]
524.6 :    3 : [9527, 9714, 9790]
524.7 :    1 : [9212]
524.8 :    3 : [9258, 9390, 9578]
524.9 :    3 : [9237, 9658, 9697]
525.0 :    1 : [9676]
525.1 :    1 : [9856]
525.2 :    1 : [9129]
525.4 :    1 : [9930]
525.5 :    2 : [9201, 9752]
525.8 :    1 : [9818]
525.9 :    1 : [9668]
526.0 :    2 : [9487, 9616]
526.2 :    1 : [9580]
526.3 :    1 : [9159]
526.5 :    3 : [9329, 9621, 9644]
526.6 :    1 : [9829]
526.7 :    2 : [9527, 9790]
526.8 :    1 : [9212]
526.9 :    4 : [9258, 9390, 9578, 9714]
527.1 :    3 : [9658, 9676, 9697]
527.2 :    2 : [9237, 9856]
527.3 :    1 : [9129]
527.5 :    1 : [9930]
527.6 :    2 : [9201, 9752]
527.9 :    1 : [9818]
528.0 :    1 : [9668]
528.1 :    2 : [9487, 9616]
528.3 :    1 : [9580]
528.4 :    1 : [9159]
528.6 :    3 : [9329, 9621, 9644]
528.7 :    1 : [9829]
528.8 :    2 : [9527, 9790]
528.9 :    1 : [9212]
529.0 :    4 : [9258, 9390, 9578, 9714]
529.2 :    3 : [9658, 9676, 9697]
529.3 :    2 : [9237, 9856]
529.4 :    1 : [9129]
529.6 :    1 : [9930]
529.7 :    1 : [9752]
529.8 :    1 : [9201]
530.1 :    2 : [9668, 9818]
530.3 :    2 : [9487, 9616]
530.5 :    1 : [9580]
530.6 :    1 : [9159]
530.8 :    3 : [9329, 9644, 9829]
530.9 :    1 : [9621]
531.0 :    2 : [9527, 9790]
531.2 :    3 : [9212, 9258, 9390]
531.3 :    2 : [9578, 9714]
531.4 :    2 : [9676, 9697]
531.5 :    1 : [9658]
531.6 :    3 : [9129, 9237, 9856]
531.9 :    1 : [9930]
532.1 :    1 : [9752]
532.2 :    1 : [9201]
532.4 :    1 : [9668]
532.5 :    2 : [9487, 9818]
532.6 :    2 : [9580, 9616]
532.8 :    1 : [9159]
532.9 :    2 : [9329, 9644]
533.0 :    1 : [9829]
533.1 :    1 : [9621]
533.2 :    1 : [9790]
533.3 :    3 : [9212, 9258, 9527]
533.4 :    3 : [9390, 9578, 9714]
533.5 :    2 : [9676, 9697]
533.6 :    1 : [9658]
533.7 :    3 : [9129, 9237, 9856]
534.0 :    1 : [9930]
534.2 :    1 : [9752]
534.4 :    1 : [9201]
534.5 :    1 : [9668]
534.6 :    2 : [9487, 9818]
534.7 :    1 : [9580]
534.8 :    1 : [9616]
534.9 :    1 : [9159]
535.0 :    2 : [9329, 9644]
535.1 :    1 : [9829]
535.2 :    1 : [9621]
535.4 :    2 : [9212, 9258]
535.5 :    4 : [9390, 9527, 9714, 9790]
535.6 :    2 : [9578, 9697]
535.7 :    2 : [9658, 9676]
535.8 :    3 : [9129, 9237, 9856]
536.1 :    1 : [9930]
536.3 :    1 : [9752]
536.6 :    1 : [9201]
536.7 :    2 : [9487, 9818]
536.8 :    1 : [9668]
536.9 :    1 : [9580]
537.0 :    2 : [9159, 9616]
537.2 :    3 : [9329, 9644, 9829]
537.3 :    1 : [9621]
537.5 :    2 : [9212, 9258]
537.6 :    1 : [9790]
537.7 :    4 : [9390, 9527, 9578, 9697]
537.8 :    2 : [9658, 9714]
537.9 :    3 : [9129, 9676, 9856]
538.0 :    1 : [9237]
538.3 :    1 : [9930]
538.4 :    1 : [9752]
538.8 :    2 : [9487, 9818]
538.9 :    1 : [9668]
539.0 :    1 : [9580]
539.1 :    2 : [9159, 9616]
539.2 :    1 : [9201]
539.3 :    3 : [9329, 9644, 9829]
539.4 :    1 : [9621]
539.6 :    2 : [9212, 9258]
539.8 :    5 : [9390, 9527, 9578, 9697, 9790]
539.9 :    2 : [9658, 9714]
540.0 :    2 : [9129, 9856]
540.1 :    2 : [9237, 9676]
540.4 :    1 : [9930]
540.5 :    1 : [9752]
540.9 :    1 : [9818]
541.1 :    2 : [9487, 9668]
541.2 :    2 : [9159, 9580]
541.3 :    1 : [9616]
541.4 :    1 : [9644]
541.5 :    3 : [9201, 9329, 9829]
541.7 :    2 : [9212, 9621]
541.8 :    1 : [9258]
541.9 :    4 : [9390, 9527, 9697, 9790]
542.0 :    3 : [9578, 9658, 9714]
542.1 :    2 : [9129, 9856]
542.2 :    2 : [9237, 9676]
542.5 :    1 : [9930]
542.6 :    1 : [9752]
543.0 :    1 : [9818]
543.2 :    2 : [9487, 9668]
543.3 :    2 : [9159, 9580]
543.4 :    1 : [9616]
543.5 :    1 : [9644]
543.6 :    3 : [9201, 9329, 9829]
