Name: SNc [DA], Title: Raster plot from device '95191', Hist: False
336.2 :    1 : [5941]
336.4 :    1 : [5884]
336.5 :    1 : [5926]
336.6 :    1 : [5920]
336.7 :    1 : [5936]
336.8 :    1 : [5924]
337.2 :    1 : [5921]
337.6 :    1 : [5881]
337.8 :    2 : [5885, 5945]
338.0 :    1 : [5882]
338.1 :    2 : [5889, 5902]
338.2 :    2 : [5894, 5916]
338.3 :    1 : [5922]
338.5 :    1 : [5904]
338.8 :    1 : [5949]
339.0 :    2 : [5888, 5912]
339.1 :    1 : [5928]
339.3 :    3 : [5869, 5933, 5952]
339.6 :    1 : [5893]
340.0 :    1 : [5955]
340.5 :    1 : [5946]
341.3 :    1 : [5882]
341.5 :    1 : [5945]
341.7 :    1 : [5894]
341.9 :    1 : [5922]
343.8 :    1 : [5894]
346.1 :    1 : [5894]
348.7 :    1 : [5894]
351.7 :    1 : [5894]
510.4 :    2 : [5883, 5939]
510.5 :    1 : [5875]
510.6 :    3 : [5879, 5882, 5896]
510.7 :    1 : [5929]
510.8 :    2 : [5906, 5910]
510.9 :    5 : [5871, 5898, 5902, 5915, 5949]
511.0 :    2 : [5868, 5943]
511.1 :    1 : [5952]
511.2 :    1 : [5866]
511.6 :    3 : [5869, 5916, 5955]
511.9 :    1 : [5925]
512.0 :    2 : [5872, 5905]
512.1 :    1 : [5931]
512.2 :    1 : [5946]
512.3 :    1 : [5899]
512.4 :    2 : [5911, 5959]
512.5 :    2 : [5939, 5942]
512.6 :    1 : [5875]
512.7 :    4 : [5879, 5882, 5896, 5936]
512.8 :    1 : [5929]
512.9 :    2 : [5906, 5910]
513.0 :    7 : [5871, 5898, 5902, 5915, 5944, 5949, 5961]
513.1 :    2 : [5868, 5943]
513.2 :    2 : [5876, 5952]
513.3 :    2 : [5880, 5890]
513.4 :    1 : [5948]
513.7 :    3 : [5869, 5916, 5955]
513.8 :    1 : [5883]
514.0 :    1 : [5909]
514.1 :    3 : [5872, 5905, 5917]
514.2 :    2 : [5887, 5931]
514.3 :    1 : [5946]
514.5 :    4 : [5911, 5950, 5954, 5959]
514.6 :    5 : [5866, 5889, 5941, 5942, 5953]
514.8 :    2 : [5884, 5947]
515.0 :    1 : [5924]
515.1 :    2 : [5898, 5961]
515.2 :    1 : [5862]
515.3 :    4 : [5876, 5925, 5937, 5952]
515.4 :    3 : [5865, 5875, 5880]
515.5 :    2 : [5901, 5948]
515.7 :    2 : [5910, 5940]
515.8 :    4 : [5869, 5899, 5906, 5939]
515.9 :    4 : [5871, 5879, 5915, 5926]
516.0 :    2 : [5896, 5929]
516.1 :    2 : [5868, 5949]
516.2 :    3 : [5872, 5917, 5936]
516.3 :    3 : [5873, 5882, 5902]
516.4 :    4 : [5894, 5907, 5944, 5946]
516.5 :    1 : [5932]
516.6 :    3 : [5911, 5943, 5950]
516.7 :    5 : [5889, 5890, 5919, 5941, 5953]
516.9 :    3 : [5883, 5884, 5947]
517.1 :    3 : [5912, 5924, 5955]
517.2 :    3 : [5916, 5931, 5961]
517.3 :    4 : [5862, 5898, 5905, 5909]
517.4 :    1 : [5937]
517.6 :    1 : [5901]
517.7 :    2 : [5887, 5959]
517.8 :    3 : [5940, 5954, 5956]
517.9 :    2 : [5866, 5899]
518.0 :    1 : [5926]
518.2 :    1 : [5942]
518.3 :    3 : [5876, 5935, 5936]
518.4 :    2 : [5873, 5952]
518.5 :    4 : [5894, 5906, 5907, 5925]
518.6 :    2 : [5932, 5946]
518.7 :    4 : [5875, 5910, 5948, 5950]
