Name: BNST[BNST_GABA], Title: Raster plot from device '3237', Hist: False
623.0 :    1 : [296]
624.9 :    1 : [307]
625.0 :    2 : [298, 302]
625.2 :    1 : [301]
625.6 :    1 : [308]
625.7 :    1 : [295]
626.3 :    1 : [296]
628.8 :    1 : [307]
635.4 :    1 : [296]
635.5 :    1 : [302]
635.6 :    2 : [298, 301]
635.8 :    1 : [295]
636.3 :    1 : [307]
638.1 :    1 : [308]
638.4 :    1 : [296]
639.1 :    1 : [302]
639.3 :    1 : [298]
639.9 :    1 : [301]
640.5 :    1 : [295]
641.0 :    1 : [307]
641.8 :    1 : [296]
642.6 :    1 : [308]
643.4 :    1 : [302]
643.9 :    1 : [298]
650.8 :    1 : [296]
650.9 :    2 : [295, 301]
651.0 :    2 : [307, 308]
651.1 :    1 : [302]
651.4 :    1 : [298]
653.9 :    1 : [295]
654.2 :    1 : [296]
654.6 :    2 : [301, 302]
655.3 :    1 : [308]
655.5 :    1 : [307]
656.1 :    1 : [298]
658.3 :    1 : [295]
658.6 :    1 : [301]
658.9 :    1 : [296]
659.3 :    1 : [302]
659.6 :    1 : [308]
659.7 :    1 : [307]
666.6 :    2 : [296, 298]
666.8 :    3 : [295, 301, 302]
667.1 :    1 : [308]
667.2 :    1 : [307]
670.6 :    1 : [296]
670.7 :    1 : [298]
671.3 :    1 : [302]
671.4 :    1 : [295]
671.5 :    1 : [301]
671.7 :    1 : [308]
671.9 :    1 : [307]
681.4 :    1 : [296]
681.5 :    1 : [298]
681.7 :    1 : [302]
681.9 :    3 : [295, 301, 307]
683.9 :    1 : [308]
684.3 :    1 : [296]
684.4 :    1 : [298]
686.2 :    1 : [302]
686.3 :    1 : [301]
686.4 :    2 : [295, 307]
687.9 :    1 : [296]
688.5 :    1 : [298]
689.1 :    1 : [308]
689.7 :    1 : [302]
690.0 :    1 : [295]
697.0 :    1 : [296]
697.2 :    4 : [298, 301, 307, 308]
697.3 :    1 : [302]
697.8 :    1 : [295]
700.0 :    1 : [296]
700.7 :    1 : [298]
701.3 :    1 : [308]
701.8 :    1 : [302]
702.0 :    2 : [301, 307]
702.5 :    1 : [295]
704.5 :    1 : [296]
705.6 :    1 : [307]
706.9 :    1 : [301]
712.1 :    1 : [298]
712.2 :    1 : [302]
712.4 :    2 : [296, 308]
712.5 :    1 : [295]
713.1 :    1 : [307]
713.2 :    1 : [301]
715.0 :    1 : [298]
715.6 :    1 : [302]
716.3 :    1 : [296]
716.9 :    1 : [295]
717.1 :    1 : [308]
717.8 :    2 : [301, 307]
718.8 :    1 : [298]
719.7 :    1 : [302]
721.1 :    1 : [308]
727.5 :    1 : [296]
727.9 :    1 : [301]
728.0 :    2 : [298, 302]
728.1 :    2 : [295, 307]
728.5 :    1 : [308]
730.4 :    1 : [296]
731.3 :    1 : [295]
731.6 :    1 : [302]
732.4 :    2 : [298, 301]
732.5 :    1 : [307]
733.3 :    1 : [308]
733.5 :    1 : [296]
736.6 :    1 : [295]
737.2 :    2 : [296, 301]
737.3 :    1 : [302]
737.6 :    1 : [298]
743.3 :    1 : [307]
743.5 :    1 : [308]
743.7 :    1 : [302]
743.9 :    2 : [295, 296]
744.1 :    1 : [301]
744.2 :    1 : [298]
748.0 :    2 : [307, 308]
748.3 :    1 : [302]
748.7 :    2 : [295, 296]
748.9 :    1 : [301]
749.1 :    1 : [298]
758.3 :    2 : [296, 307]
758.4 :    2 : [302, 308]
758.6 :    2 : [295, 301]
758.7 :    1 : [298]
761.6 :    2 : [296, 302]
761.9 :    1 : [307]
763.2 :    3 : [295, 301, 308]
763.5 :    1 : [298]
765.4 :    1 : [296]
765.7 :    1 : [302]
766.2 :    1 : [307]
767.4 :    1 : [301]
767.7 :    1 : [298]
773.8 :    1 : [308]
774.0 :    1 : [296]
774.1 :    1 : [302]
774.3 :    2 : [295, 307]
774.7 :    1 : [298]
774.9 :    1 : [301]
776.8 :    1 : [296]
777.1 :    1 : [308]
777.4 :    1 : [302]
779.1 :    1 : [307]
779.3 :    1 : [295]
779.8 :    2 : [298, 301]
782.3 :    1 : [308]
782.6 :    1 : [302]
783.0 :    1 : [296]
789.1 :    1 : [295]
789.3 :    2 : [298, 307]
789.4 :    2 : [296, 301]
789.7 :    1 : [302]
789.8 :    1 : [308]
792.4 :    1 : [295]
793.8 :    2 : [298, 307]
793.9 :    2 : [296, 301]
794.2 :    2 : [302, 308]
796.6 :    1 : [295]
797.5 :    1 : [298]
804.5 :    1 : [302]
804.6 :    2 : [307, 308]
805.0 :    1 : [296]
805.1 :    1 : [295]
805.2 :    1 : [298]
805.9 :    1 : [301]
807.4 :    1 : [302]
807.8 :    1 : [307]
808.2 :    1 : [308]
809.8 :    1 : [296]
810.0 :    1 : [295]
810.1 :    1 : [298]
810.3 :    1 : [301]
810.7 :    1 : [302]
812.2 :    1 : [307]
813.1 :    1 : [308]
813.9 :    1 : [296]
820.0 :    1 : [301]
820.1 :    1 : [295]
820.2 :    1 : [302]
820.3 :    1 : [296]
820.4 :    1 : [298]
820.5 :    1 : [307]
820.8 :    1 : [308]
824.2 :    1 : [302]
824.3 :    2 : [296, 301]
824.6 :    2 : [295, 298]
825.1 :    1 : [307]
825.5 :    1 : [308]
828.9 :    1 : [295]
835.1 :    2 : [296, 298]
835.2 :    1 : [302]
835.3 :    1 : [301]
835.5 :    1 : [308]
835.8 :    1 : [307]
836.2 :    1 : [295]
838.0 :    1 : [296]
838.1 :    1 : [302]
838.2 :    1 : [298]
838.5 :    1 : [301]
840.3 :    1 : [308]
840.7 :    1 : [307]
840.9 :    1 : [295]
841.0 :    1 : [296]
841.4 :    1 : [302]
843.2 :    1 : [298]
843.5 :    1 : [301]
844.5 :    1 : [296]
850.7 :    1 : [302]
850.8 :    1 : [307]
851.0 :    1 : [308]
851.2 :    1 : [298]
851.4 :    1 : [301]
851.6 :    2 : [295, 296]
854.1 :    1 : [302]
854.2 :    1 : [307]
855.5 :    1 : [308]
856.1 :    2 : [298, 301]
856.5 :    1 : [296]
856.6 :    1 : [295]
859.8 :    1 : [307]
865.7 :    1 : [302]
865.9 :    1 : [296]
866.0 :    2 : [298, 308]
866.1 :    2 : [295, 301]
866.8 :    1 : [307]
868.7 :    1 : [302]
868.8 :    1 : [296]
869.1 :    1 : [295]
869.2 :    1 : [308]
869.7 :    1 : [301]
869.8 :    1 : [298]
871.4 :    1 : [307]
873.5 :    2 : [296, 302]
873.7 :    1 : [295]
874.2 :    2 : [298, 301]
874.3 :    1 : [308]
881.6 :    3 : [296, 302, 307]
881.9 :    2 : [298, 308]
882.0 :    1 : [295]
882.2 :    1 : [301]
884.5 :    1 : [296]
884.8 :    1 : [302]
885.3 :    1 : [307]
886.6 :    1 : [308]
887.0 :    1 : [298]
887.1 :    1 : [295]
887.2 :    1 : [301]
889.0 :    1 : [296]
890.4 :    1 : [302]
896.7 :    2 : [298, 307]
896.8 :    1 : [296]
896.9 :    2 : [295, 301]
