Name: Motor cortex [Glu0], Title: Raster plot from device '2503', Hist: False
102.5 :    1 : [1135]
102.7 :    1 : [1129]
102.8 :    2 : [1095, 1146]
103.0 :    2 : [1103, 1106]
103.1 :    1 : [1159]
103.2 :    1 : [1139]
103.3 :    2 : [1093, 1107]
103.5 :    3 : [1075, 1087, 1088]
103.6 :    1 : [1109]
104.0 :    1 : [1080]
104.2 :    1 : [1126]
104.5 :    1 : [1082]
104.7 :    3 : [1094, 1133, 1164]
104.8 :    2 : [1111, 1166]
105.0 :    2 : [1100, 1170]
105.4 :    2 : [1136, 1173]
105.5 :    2 : [1089, 1105]
105.6 :    2 : [1142, 1144]
105.7 :    1 : [1084]
105.8 :    1 : [1086]
105.9 :    2 : [1095, 1129]
106.0 :    1 : [1106]
106.2 :    3 : [1115, 1153, 1155]
106.3 :    2 : [1146, 1151]
106.4 :    1 : [1159]
106.5 :    1 : [1116]
106.7 :    1 : [1125]
106.8 :    2 : [1076, 1167]
107.0 :    1 : [1077]
107.1 :    1 : [1121]
107.2 :    3 : [1074, 1093, 1161]
107.4 :    3 : [1087, 1097, 1135]
107.5 :    1 : [1107]
107.8 :    1 : [1147]
108.0 :    1 : [1164]
108.1 :    2 : [1088, 1090]
108.2 :    2 : [1075, 1168]
108.4 :    3 : [1150, 1152, 1170]
108.6 :    1 : [1098]
108.8 :    1 : [1078]
108.9 :    4 : [1079, 1111, 1136, 1140]
109.0 :    1 : [1162]
109.2 :    2 : [1129, 1139]
109.3 :    1 : [1158]
109.4 :    1 : [1123]
109.5 :    1 : [1100]
109.6 :    1 : [1144]
109.7 :    2 : [1105, 1142]
109.8 :    4 : [1103, 1137, 1149, 1151]
109.9 :    1 : [1116]
110.0 :    1 : [1131]
110.1 :    1 : [1118]
110.7 :    1 : [1117]
110.8 :    1 : [1133]
111.0 :    1 : [1159]
111.1 :    1 : [1102]
111.2 :    2 : [1095, 1170]
111.3 :    2 : [1146, 1155]
111.5 :    3 : [1082, 1119, 1121]
111.8 :    2 : [1088, 1127]
112.0 :    2 : [1075, 1106]
112.1 :    2 : [1074, 1152]
112.3 :    3 : [1077, 1098, 1145]
112.8 :    1 : [1164]
112.9 :    1 : [1150]
113.0 :    1 : [1107]
113.1 :    2 : [1103, 1105]
113.2 :    2 : [1090, 1173]
113.3 :    2 : [1129, 1151]
113.4 :    1 : [1108]
113.6 :    1 : [1161]
114.1 :    1 : [1168]
114.2 :    2 : [1138, 1147]
114.3 :    2 : [1079, 1154]
114.4 :    2 : [1100, 1170]
114.5 :    3 : [1087, 1110, 1165]
114.6 :    2 : [1139, 1153]
114.7 :    1 : [1126]
114.9 :    1 : [1171]
115.0 :    2 : [1117, 1144]
115.1 :    3 : [1084, 1142, 1159]
115.2 :    3 : [1091, 1116, 1166]
115.4 :    1 : [1113]
115.5 :    1 : [1172]
115.8 :    1 : [1143]
116.0 :    1 : [1080]
116.2 :    2 : [1107, 1158]
116.3 :    2 : [1077, 1098]
