Name: STN [Glu], Title: Raster plot from device '4791', Hist: False
556.7 :    1 : [624]
556.9 :    1 : [616]
557.5 :    1 : [618]
558.0 :    1 : [614]
558.6 :    1 : [619]
558.7 :    1 : [629]
558.9 :    1 : [622]
559.1 :    1 : [631]
559.7 :    2 : [616, 618]
559.9 :    1 : [624]
560.3 :    1 : [614]
561.3 :    1 : [629]
561.5 :    1 : [619]
561.6 :    1 : [622]
562.5 :    1 : [618]
563.0 :    1 : [614]
564.2 :    1 : [629]
564.9 :    1 : [622]
566.2 :    1 : [618]
566.7 :    1 : [614]
