Name: Thalamus [Glu], Title: Raster plot from device '20337', Hist: False
294.3 :    5 : [1339, 1365, 1391, 1396, 1411]
294.4 :    4 : [1326, 1334, 1359, 1399]
294.5 :    3 : [1319, 1332, 1404]
294.6 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
294.7 :    4 : [1324, 1340, 1375, 1398]
294.8 :    3 : [1314, 1329, 1367]
294.9 :    2 : [1357, 1376]
295.0 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
295.1 :    2 : [1337, 1360]
295.2 :    2 : [1315, 1344]
295.3 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
295.4 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
295.5 :    5 : [1347, 1363, 1380, 1392, 1401]
295.6 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
295.7 :    3 : [1322, 1366, 1371]
295.8 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
295.9 :    3 : [1338, 1361, 1384]
296.0 :    3 : [1342, 1343, 1345]
296.1 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
296.2 :    4 : [1325, 1346, 1389, 1390]
296.3 :    4 : [1341, 1348, 1354, 1385]
296.4 :    5 : [1339, 1365, 1391, 1396, 1411]
296.5 :    4 : [1326, 1334, 1359, 1399]
296.6 :    3 : [1319, 1332, 1404]
296.7 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
296.8 :    4 : [1324, 1340, 1375, 1398]
296.9 :    3 : [1314, 1329, 1367]
297.0 :    2 : [1357, 1376]
297.1 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
297.2 :    2 : [1337, 1360]
297.3 :    2 : [1315, 1344]
297.4 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
297.5 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
297.6 :    5 : [1347, 1363, 1380, 1392, 1401]
297.7 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
297.8 :    3 : [1322, 1366, 1371]
297.9 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
298.0 :    3 : [1338, 1361, 1384]
298.1 :    3 : [1342, 1343, 1345]
298.2 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
298.3 :    4 : [1325, 1346, 1389, 1390]
298.4 :    4 : [1341, 1348, 1354, 1385]
298.5 :    5 : [1339, 1365, 1391, 1396, 1411]
298.6 :    4 : [1326, 1334, 1359, 1399]
298.7 :    3 : [1319, 1332, 1404]
298.8 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
298.9 :    4 : [1324, 1340, 1375, 1398]
299.0 :    3 : [1314, 1329, 1367]
299.1 :    2 : [1357, 1376]
299.2 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
299.3 :    2 : [1337, 1360]
299.4 :    2 : [1315, 1344]
299.5 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
299.6 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
299.7 :    5 : [1347, 1363, 1380, 1392, 1401]
299.8 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
299.9 :    3 : [1322, 1366, 1371]
300.0 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
300.1 :    3 : [1338, 1361, 1384]
300.2 :    3 : [1342, 1343, 1345]
300.3 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
300.4 :    4 : [1325, 1346, 1389, 1390]
300.5 :    4 : [1341, 1348, 1354, 1385]
300.6 :    5 : [1339, 1365, 1391, 1396, 1411]
300.7 :    4 : [1326, 1334, 1359, 1399]
300.8 :    3 : [1319, 1332, 1404]
300.9 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
301.0 :    4 : [1324, 1340, 1375, 1398]
301.1 :    3 : [1314, 1329, 1367]
301.2 :    2 : [1357, 1376]
301.3 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
301.4 :    2 : [1337, 1360]
301.5 :    2 : [1315, 1344]
301.6 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
301.7 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
301.8 :    5 : [1347, 1363, 1380, 1392, 1401]
301.9 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
302.0 :    3 : [1322, 1366, 1371]
302.1 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
302.2 :    3 : [1338, 1361, 1384]
302.3 :    3 : [1342, 1343, 1345]
302.4 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
302.5 :    4 : [1325, 1346, 1389, 1390]
302.6 :    4 : [1341, 1348, 1354, 1385]
302.7 :    5 : [1339, 1365, 1391, 1396, 1411]
302.8 :    4 : [1326, 1334, 1359, 1399]
302.9 :    3 : [1319, 1332, 1404]
303.0 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
303.1 :    4 : [1324, 1340, 1375, 1398]
303.2 :    3 : [1314, 1329, 1367]
303.3 :    2 : [1357, 1376]
303.4 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
303.5 :    2 : [1337, 1360]
303.6 :    2 : [1315, 1344]
303.7 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
303.8 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
303.9 :    5 : [1347, 1363, 1380, 1392, 1401]
304.0 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
304.1 :    3 : [1322, 1366, 1371]
304.2 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
304.3 :    3 : [1338, 1361, 1384]
304.4 :    3 : [1342, 1343, 1345]
304.5 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
304.6 :    4 : [1325, 1346, 1389, 1390]
304.7 :    4 : [1341, 1348, 1354, 1385]
304.8 :    5 : [1339, 1365, 1391, 1396, 1411]
304.9 :    4 : [1326, 1334, 1359, 1399]
305.0 :    3 : [1319, 1332, 1404]
305.1 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
305.2 :    4 : [1324, 1340, 1375, 1398]
305.3 :    3 : [1314, 1329, 1367]
305.4 :    2 : [1357, 1376]
305.5 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
305.6 :    2 : [1337, 1360]
305.7 :    2 : [1315, 1344]
305.8 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
305.9 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
306.0 :    5 : [1347, 1363, 1380, 1392, 1401]
306.1 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
306.2 :    3 : [1322, 1366, 1371]
306.3 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
306.4 :    3 : [1338, 1361, 1384]
306.5 :    3 : [1342, 1343, 1345]
306.6 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
306.7 :    4 : [1325, 1346, 1389, 1390]
306.8 :    4 : [1341, 1348, 1354, 1385]
306.9 :    5 : [1339, 1365, 1391, 1396, 1411]
307.0 :    4 : [1326, 1334, 1359, 1399]
307.1 :    3 : [1319, 1332, 1404]
307.2 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
307.3 :    4 : [1324, 1340, 1375, 1398]
307.4 :    3 : [1314, 1329, 1367]
307.5 :    2 : [1357, 1376]
307.6 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
307.7 :    2 : [1337, 1360]
307.8 :    2 : [1315, 1344]
307.9 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
308.0 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
308.1 :    5 : [1347, 1363, 1380, 1392, 1401]
308.2 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
308.3 :    3 : [1322, 1366, 1371]
308.4 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
308.5 :    3 : [1338, 1361, 1384]
308.6 :    3 : [1342, 1343, 1345]
308.7 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
308.8 :    4 : [1325, 1346, 1389, 1390]
308.9 :    4 : [1341, 1348, 1354, 1385]
309.0 :    5 : [1339, 1365, 1391, 1396, 1411]
309.1 :    4 : [1326, 1334, 1359, 1399]
309.2 :    3 : [1319, 1332, 1404]
309.3 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
309.4 :    4 : [1324, 1340, 1375, 1398]
309.5 :    3 : [1314, 1329, 1367]
309.6 :    2 : [1357, 1376]
309.7 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
309.8 :    2 : [1337, 1360]
309.9 :    2 : [1315, 1344]
310.0 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
310.1 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
310.2 :    5 : [1347, 1363, 1380, 1392, 1401]
310.3 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
310.4 :    3 : [1322, 1366, 1371]
310.5 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
310.6 :    3 : [1338, 1361, 1384]
310.7 :    3 : [1342, 1343, 1345]
310.8 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
310.9 :    4 : [1325, 1346, 1389, 1390]
311.0 :    4 : [1341, 1348, 1354, 1385]
311.1 :    5 : [1339, 1365, 1391, 1396, 1411]
311.2 :    4 : [1326, 1334, 1359, 1399]
311.3 :    3 : [1319, 1332, 1404]
311.4 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
311.5 :    4 : [1324, 1340, 1375, 1398]
311.6 :    3 : [1314, 1329, 1367]
311.7 :    2 : [1357, 1376]
311.8 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
311.9 :    2 : [1337, 1360]
312.0 :    2 : [1315, 1344]
312.1 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
312.2 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
312.3 :    5 : [1347, 1363, 1380, 1392, 1401]
312.4 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
312.5 :    3 : [1322, 1366, 1371]
312.6 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
312.7 :    3 : [1338, 1361, 1384]
312.8 :    3 : [1342, 1343, 1345]
312.9 :    6 : [1318, 1321, 1350, 1386, 1402, 1407]
313.0 :    4 : [1325, 1346, 1389, 1390]
313.1 :    4 : [1341, 1348, 1354, 1385]
313.2 :    5 : [1339, 1365, 1391, 1396, 1411]
313.3 :    4 : [1326, 1334, 1359, 1399]
313.4 :    3 : [1319, 1332, 1404]
313.5 :    6 : [1336, 1349, 1352, 1362, 1369, 1410]
313.6 :    4 : [1324, 1340, 1375, 1398]
313.7 :    3 : [1314, 1329, 1367]
313.8 :    2 : [1357, 1376]
313.9 :    8 : [1330, 1356, 1370, 1394, 1395, 1397, 1405, 1406]
314.0 :    2 : [1337, 1360]
314.1 :    2 : [1315, 1344]
314.2 :    7 : [1333, 1353, 1378, 1383, 1393, 1400, 1408]
314.3 :   12 : [1312, 1313, 1320, 1351, 1364, 1373, 1377, 1379, 1382, 1387, 1388, 1409]
314.4 :    5 : [1347, 1363, 1380, 1392, 1401]
314.5 :    6 : [1316, 1327, 1328, 1335, 1368, 1374]
314.6 :    3 : [1322, 1366, 1371]
314.7 :    8 : [1317, 1323, 1331, 1355, 1358, 1372, 1381, 1403]
314.8 :    3 : [1338, 1361, 1384]
