Name: Striatum [D2], Title: Raster plot from device '5457', Hist: False
 50.7 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 50.8 :    4 : [1078, 1079, 1109, 1110]
 50.9 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 51.0 :    1 : [1080]
 51.1 :    2 : [1035, 1048]
 51.2 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 51.4 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 51.5 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 51.6 :    4 : [1028, 1058, 1059, 1106]
 51.7 :    2 : [1061, 1081]
 51.8 :    5 : [1094, 1114, 1115, 1117, 1118]
 51.9 :    4 : [1036, 1050, 1074, 1120]
 52.0 :    5 : [1026, 1027, 1090, 1107, 1116]
 52.1 :    2 : [1025, 1047]
 52.2 :    1 : [1071]
 52.3 :    5 : [1042, 1060, 1063, 1075, 1076]
 52.5 :    4 : [1034, 1066, 1088, 1095]
 52.6 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 52.7 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 52.8 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 52.9 :    4 : [1078, 1079, 1109, 1110]
 53.0 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 53.1 :    1 : [1080]
 53.2 :    2 : [1035, 1048]
 53.3 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 53.5 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 53.6 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 53.7 :    4 : [1028, 1058, 1059, 1106]
 53.8 :    2 : [1061, 1081]
 53.9 :    5 : [1094, 1114, 1115, 1117, 1118]
 54.0 :    4 : [1036, 1050, 1074, 1120]
 54.1 :    5 : [1026, 1027, 1090, 1107, 1116]
 54.2 :    2 : [1025, 1047]
 54.3 :    1 : [1071]
 54.4 :    5 : [1042, 1060, 1063, 1075, 1076]
 54.6 :    4 : [1034, 1066, 1088, 1095]
 54.7 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 54.8 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 54.9 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 55.0 :    4 : [1078, 1079, 1109, 1110]
 55.1 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 55.2 :    1 : [1080]
 55.3 :    2 : [1035, 1048]
 55.4 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 55.6 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 55.7 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 55.8 :    4 : [1028, 1058, 1059, 1106]
 55.9 :    2 : [1061, 1081]
 56.0 :    5 : [1094, 1114, 1115, 1117, 1118]
 56.1 :    4 : [1036, 1050, 1074, 1120]
 56.2 :    5 : [1026, 1027, 1090, 1107, 1116]
 56.3 :    2 : [1025, 1047]
 56.4 :    1 : [1071]
 56.5 :    5 : [1042, 1060, 1063, 1075, 1076]
 56.7 :    4 : [1034, 1066, 1088, 1095]
 56.8 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 56.9 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 57.0 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 57.1 :    4 : [1078, 1079, 1109, 1110]
 57.2 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 57.3 :    1 : [1080]
 57.4 :    2 : [1035, 1048]
 57.5 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 57.7 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 57.8 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 57.9 :    4 : [1028, 1058, 1059, 1106]
 58.0 :    2 : [1061, 1081]
 58.1 :    5 : [1094, 1114, 1115, 1117, 1118]
 58.2 :    4 : [1036, 1050, 1074, 1120]
 58.3 :    5 : [1026, 1027, 1090, 1107, 1116]
 58.4 :    2 : [1025, 1047]
 58.5 :    1 : [1071]
 58.6 :    5 : [1042, 1060, 1063, 1075, 1076]
 58.8 :    4 : [1034, 1066, 1088, 1095]
 58.9 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 59.0 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 59.1 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 59.2 :    4 : [1078, 1079, 1109, 1110]
 59.3 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 59.4 :    1 : [1080]
 59.5 :    2 : [1035, 1048]
 59.6 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 59.8 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 59.9 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 60.0 :    4 : [1028, 1058, 1059, 1106]
 60.1 :    2 : [1061, 1081]
 60.2 :    5 : [1094, 1114, 1115, 1117, 1118]
 60.3 :    4 : [1036, 1050, 1074, 1120]
 60.4 :    5 : [1026, 1027, 1090, 1107, 1116]
 60.5 :    2 : [1025, 1047]
 60.6 :    1 : [1071]
 60.7 :    5 : [1042, 1060, 1063, 1075, 1076]
 60.9 :    4 : [1034, 1066, 1088, 1095]
 61.0 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 61.1 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 61.2 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 61.3 :    4 : [1078, 1079, 1109, 1110]
 61.4 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 61.5 :    1 : [1080]
 61.6 :    2 : [1035, 1048]
 61.7 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 61.9 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 62.0 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 62.1 :    4 : [1028, 1058, 1059, 1106]
 62.2 :    2 : [1061, 1081]
 62.3 :    5 : [1094, 1114, 1115, 1117, 1118]
 62.4 :    4 : [1036, 1050, 1074, 1120]
 62.5 :    5 : [1026, 1027, 1090, 1107, 1116]
 62.6 :    2 : [1025, 1047]
 62.7 :    1 : [1071]
 62.8 :    5 : [1042, 1060, 1063, 1075, 1076]
 63.0 :    4 : [1034, 1066, 1088, 1095]
 63.1 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 63.2 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 63.3 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 63.4 :    4 : [1078, 1079, 1109, 1110]
 63.5 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 63.6 :    1 : [1080]
 63.7 :    2 : [1035, 1048]
 63.8 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 64.0 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 64.1 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 64.2 :    4 : [1028, 1058, 1059, 1106]
 64.3 :    2 : [1061, 1081]
 64.4 :    5 : [1094, 1114, 1115, 1117, 1118]
 64.5 :    4 : [1036, 1050, 1074, 1120]
 64.6 :    5 : [1026, 1027, 1090, 1107, 1116]
 64.7 :    2 : [1025, 1047]
 64.8 :    1 : [1071]
 64.9 :    5 : [1042, 1060, 1063, 1075, 1076]
 65.1 :    4 : [1034, 1066, 1088, 1095]
 65.2 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 65.3 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 65.4 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 65.5 :    4 : [1078, 1079, 1109, 1110]
 65.6 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 65.7 :    1 : [1080]
 65.8 :    2 : [1035, 1048]
 65.9 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
 66.1 :    6 : [1032, 1043, 1051, 1089, 1099, 1121]
 66.2 :    7 : [1023, 1031, 1038, 1056, 1068, 1100, 1113]
 66.3 :    4 : [1028, 1058, 1059, 1106]
 66.4 :    2 : [1061, 1081]
 66.5 :    5 : [1094, 1114, 1115, 1117, 1118]
 66.6 :    4 : [1036, 1050, 1074, 1120]
 66.7 :    5 : [1026, 1027, 1090, 1107, 1116]
 66.8 :    2 : [1025, 1047]
 66.9 :    1 : [1071]
 67.0 :    5 : [1042, 1060, 1063, 1075, 1076]
 67.2 :    4 : [1034, 1066, 1088, 1095]
 67.3 :   17 : [1029, 1030, 1040, 1049, 1057, 1062, 1064, 1067, 1070, 1073, 1077, 1086, 1087, 1091, 1092, 1104, 1112]
 67.4 :    6 : [1022, 1037, 1083, 1096, 1097, 1102]
 67.5 :    7 : [1033, 1041, 1044, 1069, 1105, 1108, 1111]
 67.6 :    4 : [1078, 1079, 1109, 1110]
 67.7 :    9 : [1039, 1046, 1053, 1065, 1082, 1084, 1085, 1098, 1119]
 67.8 :    1 : [1080]
 67.9 :    2 : [1035, 1048]
 68.0 :    9 : [1024, 1045, 1052, 1054, 1055, 1072, 1093, 1101, 1103]
