Name: Striatum [D1], Title: Raster plot from device '5456', Hist: False
247.9 :    4 : [890, 904, 931, 958]
248.0 :    4 : [883, 900, 915, 927]
248.1 :    4 : [901, 939, 947, 982]
248.2 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
248.3 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
248.4 :    1 : [892]
248.5 :    6 : [887, 899, 935, 945, 972, 977]
248.6 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
248.7 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
248.8 :    6 : [910, 920, 925, 948, 969, 980]
248.9 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
249.0 :    1 : [929]
249.1 :    7 : [911, 952, 954, 968, 971, 973, 975]
249.2 :    4 : [906, 921, 923, 933]
249.3 :    2 : [934, 964]
249.4 :    3 : [905, 926, 937]
249.5 :    1 : [965]
249.6 :    1 : [908]
249.7 :    1 : [916]
249.8 :    3 : [889, 919, 924]
249.9 :    1 : [930]
250.0 :    4 : [890, 904, 931, 958]
250.1 :    4 : [883, 900, 915, 927]
250.2 :    4 : [901, 939, 947, 982]
250.3 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
250.4 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
250.5 :    1 : [892]
250.6 :    6 : [887, 899, 935, 945, 972, 977]
250.7 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
250.8 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
250.9 :    6 : [910, 920, 925, 948, 969, 980]
251.0 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
251.1 :    1 : [929]
251.2 :    7 : [911, 952, 954, 968, 971, 973, 975]
251.3 :    4 : [906, 921, 923, 933]
251.4 :    2 : [934, 964]
251.5 :    3 : [905, 926, 937]
251.6 :    1 : [965]
251.7 :    1 : [908]
251.8 :    1 : [916]
251.9 :    3 : [889, 919, 924]
252.0 :    1 : [930]
252.1 :    4 : [890, 904, 931, 958]
252.2 :    4 : [883, 900, 915, 927]
252.3 :    4 : [901, 939, 947, 982]
252.4 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
252.5 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
252.6 :    1 : [892]
252.7 :    6 : [887, 899, 935, 945, 972, 977]
252.8 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
252.9 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
253.0 :    6 : [910, 920, 925, 948, 969, 980]
253.1 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
253.2 :    1 : [929]
253.3 :    7 : [911, 952, 954, 968, 971, 973, 975]
253.4 :    4 : [906, 921, 923, 933]
253.5 :    2 : [934, 964]
253.6 :    3 : [905, 926, 937]
253.7 :    1 : [965]
253.8 :    1 : [908]
253.9 :    1 : [916]
254.0 :    3 : [889, 919, 924]
254.1 :    1 : [930]
254.2 :    4 : [890, 904, 931, 958]
254.3 :    4 : [883, 900, 915, 927]
254.4 :    4 : [901, 939, 947, 982]
254.5 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
254.6 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
254.7 :    1 : [892]
254.8 :    6 : [887, 899, 935, 945, 972, 977]
254.9 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
255.0 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
255.1 :    6 : [910, 920, 925, 948, 969, 980]
255.2 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
255.3 :    1 : [929]
255.4 :    7 : [911, 952, 954, 968, 971, 973, 975]
255.5 :    4 : [906, 921, 923, 933]
255.6 :    2 : [934, 964]
255.7 :    3 : [905, 926, 937]
255.8 :    1 : [965]
255.9 :    1 : [908]
256.0 :    1 : [916]
256.1 :    3 : [889, 919, 924]
256.2 :    1 : [930]
256.3 :    4 : [890, 904, 931, 958]
256.4 :    4 : [883, 900, 915, 927]
256.5 :    4 : [901, 939, 947, 982]
256.6 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
256.7 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
256.8 :    1 : [892]
256.9 :    6 : [887, 899, 935, 945, 972, 977]
257.0 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
257.1 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
257.2 :    6 : [910, 920, 925, 948, 969, 980]
257.3 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
257.4 :    1 : [929]
257.5 :    7 : [911, 952, 954, 968, 971, 973, 975]
257.6 :    4 : [906, 921, 923, 933]
257.7 :    2 : [934, 964]
257.8 :    3 : [905, 926, 937]
257.9 :    1 : [965]
258.0 :    1 : [908]
258.1 :    1 : [916]
258.2 :    3 : [889, 919, 924]
258.3 :    1 : [930]
258.4 :    4 : [890, 904, 931, 958]
258.5 :    4 : [883, 900, 915, 927]
258.6 :    4 : [901, 939, 947, 982]
258.7 :   11 : [888, 895, 897, 902, 903, 914, 928, 938, 942, 963, 976]
258.8 :   12 : [886, 893, 898, 909, 917, 922, 932, 936, 941, 955, 956, 974]
258.9 :    1 : [892]
259.0 :    6 : [887, 899, 935, 945, 972, 977]
259.1 :    8 : [885, 894, 913, 940, 946, 959, 979, 981]
259.2 :    9 : [891, 907, 912, 943, 950, 953, 960, 962, 967]
259.3 :    6 : [910, 920, 925, 948, 969, 980]
259.4 :   11 : [884, 896, 918, 944, 949, 951, 957, 961, 966, 970, 978]
